,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0.0,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.1,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.2,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.3,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.4,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.5,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.6,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.7,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.8,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
0.9,0.0,722.0,1443.0,2164.0,2886.0,3608.0,4329.0,5050.0,5772.0,6494.0
